diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
El Comercio,ecuador_elcomercio_2015_63,"La inflacion en mayo de 2015 se ubico en 0,18% segun el ultimo reporte de inflacion del Instituto Nacional de Estadistica y Censos (INEC). Hasta mayo pasado ...",economi,4 Jun. 2015,"La inflacion anual en Ecuador llega al 4,55%",2015.0,inflacion anual ecuador llega,inflacion mayo ubico segun ultimo reporte inflacion del instituto nacional estadistica censos inec hasta mayo pasado,inflacion anual lleg,inflacion anual llega,inflacion anual ecuador lleg,inflacion may ubic segun ultim report inflacion institut nacional estadist cens inec hast may pas,inflacion mayo ubico segun ultimo reporte inflacion instituto nacional estadistica censos inec mayo pasado,inflacion may ubic segun ultim report inflacion del institut nacional estadist cens inec hast may pas
El Universo,,"Luego de seis anos de tramite, trece propuestas y observaciones de 858 organizaciones, el Codigo Organico de la Salud (COS) entro a la etapa de ...",health,10 jun. 2018 -,Seis anos de debates de un polemico Codigo de la Salud,,seis anos debates polemico codigo salud,luego seis anos tramite trece propuestas observaciones organizaciones codigo organico salud cos entro etapa,seis anos debat polem codig salud,seis anos debates polemico codigo salud,seis anos debat polem codig salud,lueg seis anos tramit trec propuest observ organiz codig organ salud cos entro etap,luego seis anos tramite trece propuestas observaciones organizaciones codigo organico salud cos entro etapa,lueg seis anos tramit trec propuest observ organiz codig organ salud cos entro etap
El Comercio (Ecuador),ecuador_elcomercio_2016_9,El Presidente del dragon asiatico senalo que su visita a Ecuador es la ... como son las inquietudes por el surgimiento de criticas al libre comercio y movimientos ...,polit,17 Nov. 2016,Xi Jinping llego para sellar alianza integral,2016.0,jinping llego para sellar alianza integral,presidente del dragon asiatico senalo que visita ecuador como son las inquietudes por surgimiento criticas libre comercio movimientos,jinping lleg par sell alianz integral,jinping llego sellar alianza integral,jinping lleg par sell alianz integral,president dragon asiat senal visit com inquietud surgimient critic libr comerci movimient,presidente dragon asiatico senalo visita inquietudes surgimiento criticas libre comercio movimientos,president del dragon asiat senal que visit ecuador com son las inquietud por surgimient critic libr comerci movimient
El Universo,ecuador_eluniverso_2017_92,"En Ecuador, las autoridades indicaron que entre los 11 detenidos consta Freddy Eduardo Z. H., un capitan de Policia, de 34 anos, en servicio activo, quien se ...",crime,13 abr. 2017,"12 millones de dolares y 11 detenidos, en operativo antinarcotico en ...",2017.0,millones dolares detenidos operativo antinarcotico,ecuador las autoridades indicaron que entre los detenidos consta freddy eduardo capitan policia anos servicio activo quien,millon dolar deten oper antinarcot,millones dolares detenidos operativo antinarcotico,millon dolar deten oper antinarcot,autor indic deten const freddy eduard capit polici anos servici activ qui,autoridades indicaron detenidos consta freddy eduardo capitan policia anos servicio activo,ecuador las autor indic que entre los deten const freddy eduard capit polici anos servici activ qui
El Comercio (Ecuador),ecuador_elcomercio_2016_79,"Cuba envio a Ecuador su brigada medica especializada en desastres naturales para atender a las victimas del sismo que afecto a ese pais, a la que se uniran ...",health,18 abr. 2016,Cuba envia brigada medica especializada a Ecuador,2016.0,cuba envia brigada medica especializada ecuador,cuba envio ecuador brigada medica especializada desastres naturales para atender las victimas del sismo que afecto ese pais que uniran,cub envi brig medic especializ,cuba envia brigada medica especializada,cub envi brig medic especializ ecuador,cub envi brig medic especializ desastr natural par atend victim sism afect pais unir,cuba envio brigada medica especializada desastres naturales atender victimas sismo afecto pais uniran,cub envi ecuador brig medic especializ desastr natural par atend las victim del sism que afect ese pais que unir
El Universo,ecuador_eluniverso_2018_80,"Los familiares del equipo periodistico secuestrado y asesinado en la frontera norte se reunen hoy, a las 18:00, con el presidente Lenin Moreno, para recibir la ...",crime,13 May. 2018,Familias de periodistas asesinados esperan primeros datos ...,2018.0,familias periodistas asesinados esperan primeros datos,los familiares del equipo periodistico secuestrado asesinado frontera norte reunen hoy las con presidente lenin moreno para recibir,famili period asesin esper primer dat,familias periodistas asesinados esperan primeros datos,famili period asesin esper primer dat,familiar equip periodist secuestr asesin fronter nort reun hoy president moren par recib,familiares equipo periodistico secuestrado asesinado frontera norte reunen hoy presidente recibir,los familiar del equip periodist secuestr asesin fronter nort reun hoy las con president lenin moren par recib
El Comercio,ecuador_elcomercio_2015_76,La Premio Nobel de la Paz guatemalteca Rigoberta Menchu dio hoy su apoyo a la campana del gobierno ecuatoriano en rechazo a la contaminacion que dejo ...,polit,3 Jun. 2015,Menchu respalda a Ecuador en campana contra Chevron por ...,2015.0,menchu respalda ecuador campana contra chevron por,premio nobel paz guatemalteca rigoberta menchu dio hoy apoyo campana del gobierno ecuatoriano rechazo contaminacion que dejo,menchu respald campan contr chevron,menchu respalda campana chevron,menchu respald ecuador campan contr chevron por,premi nobel paz guatemaltec rigobert menchu dio hoy apoy campan gobiern ecuatorian rechaz contaminacion dej,premio nobel paz guatemalteca rigoberta menchu dio hoy apoyo campana gobierno ecuatoriano rechazo contaminacion dejo,premi nobel paz guatemaltec rigobert menchu dio hoy apoy campan del gobiern ecuatorian rechaz contaminacion que dej
El Comercio (Ecuador),ecuador_elcomercio_2016_96,La entrada en vigor del acuerdo de libre comercio negociado entre la Union Europea (UE) y Ecuador esta mas cerca despues de que la Comision de Comercio ...,economi,29 Nov. 2016,Comision del Parlamento Europeo da su aprobacion al acuerdo ...,2016.0,comision del parlamento europeo aprobacion acuerdo,entrada vigor del acuerdo libre comercio negociado entre union europea ecuador esta mas cerca despues que comision comercio,comision parlament europe aprobacion acuerd,comision parlamento europeo aprobacion acuerdo,comision del parlament europe aprobacion acuerd,entrad vigor acuerd libr comerci negoci union europe mas cerc despu comision comerci,entrada vigor acuerdo libre comercio negociado union europea mas cerca despues comision comercio,entrad vigor del acuerd libr comerci negoci entre union europe ecuador esta mas cerc despu que comision comerci
El Universo,,El futuro llega a las aulas de escuelas y colegios en America Latina ... Hay conversaciones avanzadas con el Ministerio de Educacion del Ecuador para que se ...,educ,2 may. 2015 -,El futuro llega a las aulas de escuelas y colegios en America Latina ...,,futuro llega las aulas escuelas colegios america latina,futuro llega las aulas escuelas colegios america latina hay conversaciones avanzadas con ministerio educacion del ecuador para que,futur lleg aul escuel colegi amer latin,futuro llega aulas escuelas colegios america latina,futur lleg las aul escuel colegi amer latin,futur lleg aul escuel colegi amer latin convers avanz ministeri educacion par,futuro llega aulas escuelas colegios america latina conversaciones avanzadas ministerio educacion,futur lleg las aul escuel colegi amer latin hay convers avanz con ministeri educacion del ecuador par que
El Universo,, que suspende las actividades academicas en escuelas y colegios para los dias ... o casas abiertas de los sabados en las escuelas y colegios de Ecuador.,educ,19 mar. 2018 -,"Que pasara con las mananas deportivas, mingas o casas abiertas de ...",,que pasara con las mananas deportivas mingas casas abiertas,que suspende las actividades academicas escuelas colegios para los dias casas abiertas los sabados las escuelas colegios ecuador,pas manan deport ming cas abiert,pasara mananas deportivas mingas casas abiertas,que pas con las manan deport ming cas abiert,suspend activ academ escuel colegi par dias cas abiert sab escuel colegi,suspende actividades academicas escuelas colegios dias casas abiertas sabados escuelas colegios,que suspend las activ academ escuel colegi par los dias cas abiert los sab las escuel colegi ecuador
El Universo,,"A lo largo del tiempo vamos moldeando conductas y habitos, ya sea el consumo de alcohol, tabaco o de alimentos que perjudican la salud. Siempre se habla ...",health,9 ago. 2018 -,Los examenes medicos que debes realizarte segun tu edad ,,los examenes medicos que debes realizarte segun edad,largo del tiempo vamos moldeando conductas habitos sea consumo alcohol tabaco alimentos que perjudican salud siempre habla,examen medic deb realizart segun edad,examenes medicos debes realizarte segun edad,los examen medic que deb realizart segun edad,larg tiemp vam mold conduct habit consum alcohol tabac aliment perjudic salud siempr habl,largo tiempo vamos moldeando conductas habitos consumo alcohol tabaco alimentos perjudican salud siempre habla,larg del tiemp vam mold conduct habit sea consum alcohol tabac aliment que perjudic salud siempr habl
El Universo,ecuador_eluniverso_2018_108,"... especificamente en la seccion Servicio Contra Incendios de la Fuerza Aerea Ecuatoriana, en cuyo hangar se hallaron en sacos de yute 990 paquetes con la ...",crime,14 Sep. 2018,Droga detectada en Manta iba a Mexico,2018.0,droga detectada manta iba mexico,especificamente seccion servicio contra incendios fuerza aerea ecuatoriana cuyo hangar hallaron sacos yute paquetes con,drog detect mant iba mexic,droga detectada manta iba mexico,drog detect mant iba mexic,especif seccion servici contr incendi fuerz aere ecuatorian cuy hang hall sac yut paquet,especificamente seccion servicio incendios fuerza aerea ecuatoriana cuyo hangar hallaron sacos yute paquetes,especif seccion servici contr incendi fuerz aere ecuatorian cuy hang hall sac yut paquet con
,,Nos preguntamos: ?el ingreso a la universidad es un sistema de avance o de un retroceso? El sistema de ingreso a las carreras universitarias publicas en el ...,educ,21 jul. 2018 -,El acceso a las universidades publicas | Cartas al Director | Opinion ...,,acceso las universidades publicas cartas director opinion,nos preguntamos ingreso universidad sistema avance retroceso sistema ingreso las carreras universitarias publicas,acces univers public cart director opinion,acceso universidades publicas cartas director opinion,acces las univers public cart director opinion,pregunt ingres univers sistem avanc retroces sistem ingres carrer universitari public,preguntamos ingreso universidad sistema avance retroceso sistema ingreso carreras universitarias publicas,nos pregunt ingres univers sistem avanc retroces sistem ingres las carrer universitari public
El Universo,,"Si no estaba en el Conservatorio, Ruth creia que podia haberse quedado en la escuela. Cuando llego, a las 19:50, la institucion ya estaba cerrada, las luces ...",educ,29 jul. 2016 -,La extrana muerte de Valentina C. impulsa una campana en contra de ...,,extrana muerte valentina impulsa una campana contra,estaba conservatorio ruth creia que podia haberse quedado escuela cuando llego las institucion estaba cerrada las luces,extran muert valentin impuls campan contr,extrana muerte valentina impulsa campana,extran muert valentin impuls una campan contr,estab conservatori ruth crei podi hab qued escuel cuand lleg institucion estab cerr luc,conservatorio ruth creia podia haberse quedado escuela llego institucion cerrada luces,estab conservatori ruth crei que podi hab qued escuel cuand lleg las institucion estab cerr las luc
El Universo,,Los ninos de la escuela Abraham Calazacon juegan indiferentes a los ... La escuela Julio Jaramillo Laurido es uno de los planteles que tenia que ... El arancel para zapatos deportivos se reduce y para implementos se baja a cero en Ecuador.,educ,15 oct. 2018 -,Los ninos no pueden usar tres escuelas nuevas,,los ninos pueden usar tres escuelas nuevas,los ninos escuela abraham calazacon juegan indiferentes los escuela julio jaramillo laurido uno los planteles que tenia que arancel para zapatos deportivos reduce para implementos baja cero ecuador,nin pued usar tres escuel nuev,ninos pueden usar tres escuelas nuevas,los nin pued usar tres escuel nuev,nin escuel abraham calazacon jueg indiferent escuel juli jaramill laur plantel teni arancel par zapat deport reduc par implement baj cer,ninos escuela abraham calazacon juegan indiferentes escuela julio jaramillo laurido planteles tenia arancel zapatos deportivos reduce implementos baja cero,los nin escuel abraham calazacon jueg indiferent los escuel juli jaramill laur uno los plantel que teni que arancel par zapat deport reduc par implement baj cer ecuador
